# Title: A Search for L/T Transition Dwarfs With Pan-STARRS1 and WISE.
#        III. Young L Dwarf Discoveries and Proper Motion Catalogs
#        in Taurus and Scorpius-Centaurus
# Authors: William M. J. Best, Michael C. Liu, Eugene A. Magnier,
#          Brendan P. Bowler, Kimberly M. Aller, Zhoujian Zhang,
#          Michael C. Kotson, W. S. Burgett, K. C. Chambers,
#          P. Draper, H. Flewelling, K. W. Hodapp, N. Kaiser,
#          N. Metcalfe, R. J. Wainscoat, C. Waters
# Accepted by ApJ
# arXiv: 1702.00789
# 
# Table: Proper Motions of Upper Scorpius Members (Table 9)
# Version: 2017-01-31
# 
# ================================================================================
# Notes:
# - This table contains 482 rows and 14 columns.
# - Fields with no data are filled with "NaN".
#
# - The objects in this table are taken from the catalogs of
#   Luhman & Mamajek (2014), Dawson et al. (2014), and Rizzuto et al. (2015),
#   except for PSO J237.1470-23.1489 and PSO J239.7015-23.2665 which are new
#   discoveries presented in this paper.  We adopt a photometric precision floor
#   of 0.01 mag for the PS1 photometry, following the analysis of
#   Schlafly et al. (2012).  The errors reported in the PS1 database are formal
#   errors that do not include systematics, and are often smaller.
# 
# ================================================================================
# Column descriptions:
#  N  Label         Format   Units   Description
#  1  Name          string           Name used in the object's discovery or spectral confirmation paper
#  2  i_p1          float    mag     PS1 i magnitude
#  3  i_err         float    mag     Error in PS1 i magnitude
#  4  z_p1          float    mag     PS1 z magnitude
#  5  z_err         float    mag     Error in PS1 z magnitude
#  6  y_p1          float    mag     PS1 y magnitude
#  7  y_err         float    mag     Error in PS1 y magnitude
#  8  mu_ra         float    mas/yr  Proper motion in Right Ascension [mu_ra * cos(dec)]
#  9  emu_ra        float    mas/yr  Error in proper motion in Right Ascension
# 10  mu_de         float    mas/yr  Proper motion in Declination
# 11  emu_de        float    mas/yr  Error in proper motion in Declination
# 12  rchisq        float            Reduced chi-squared of the proper motion fit
# 13  n_ep          integer          Number of epochs used in the proper motion fit
# 14  d_time        float    years   Time baseline of the proper moton fit
# 
# ================================================================================
# ======================  Reliable fits: 0.3 < rchisq < 40  ======================
# ================================================================================
#                   Name    i_p1  i_err    z_p1  z_err    y_p1  y_err    mu_ra  emu_ra    mu_de  emu_de  rchisq  n_ep  d_time
 2MASS_J15350863-2532397   17.98   0.01   16.86   0.01   16.28   0.01    -10.2     6.8    -13.5     4.8     4.7    47    16.5
 2MASS_J15355111-2021008   18.73   0.01   17.32   0.01   16.50   0.01    -11.2     1.6    -17.6     2.2     1.2    38    16.6
 2MASS_J15411302-2308161   18.14   0.01   17.02   0.01   16.40   0.01    -12.1     2.2    -22.8     1.9     1.1    48    15.3
 2MASS_J15420830-2621138   16.83   0.01   15.85   0.01   15.32   0.01    -10.9     3.3    -16.8     6.6     3.7    53    15.7
 2MASS_J15423609-2108428   18.39   0.01   17.02   0.01   16.22   0.01    -11.1     6.3    -13.5     5.0     6.3    37    16.6
 2MASS_J15433947-2535549   20.47   0.03   18.85   0.02   17.83   0.02    -15.9     4.5    -16.6     4.4     0.7    41    15.3
 2MASS_J15442275-2136092   18.29   0.01   17.23   0.01   16.60   0.01    -13.2     2.2    -28.2     2.1     0.9    52    16.6
 2MASS_J15453662-2510493   17.85   0.01   16.70   0.01   16.05   0.01    -10.9     1.8    -20.2     2.1     2.0    55    15.7
 2MASS_J15465432-2556520   15.93   0.01   14.93   0.01   14.40   0.01    -11.3     1.9    -15.3     4.1     4.2    64    15.7
 2MASS_J15470494-2137403   15.55   0.01   14.68   0.01   14.21   0.01     -5.9     3.7     -8.5     3.3     4.0    51    16.6
 2MASS_J15472282-2139141   20.13   0.02   18.72   0.02   17.83   0.03     -9.2     2.3    -21.1     2.3     1.0    45    16.6
 2MASS_J15472572-2609185   17.22   0.02   16.10   0.01   15.45   0.01    -13.2     2.0    -27.5     2.6     2.0    54    15.3
 2MASS_J15480057-1815003   18.72   0.01   17.38   0.01   16.62   0.01    -10.8     2.3    -21.7     2.3     1.2    37    15.9
   PSO_J237.1471-23.1489   18.69   0.01   17.41   0.01   16.61   0.01    -11.4     2.8    -19.7     2.8     2.1    34    16.6
 2MASS_J15490414-2120150   17.14   0.01   16.03   0.01   15.43   0.01     -6.6     2.2     -8.5     2.5     2.0    59    16.6
 2MASS_J15490803-2839550   16.39   0.01   15.49   0.01   15.02   0.01    -20.4     3.2    -18.2     1.9     4.9    67    15.7
