# Title: A Search for L/T Transition Dwarfs With Pan-STARRS1 and WISE.
#        III. Young L Dwarf Discoveries and Proper Motion Catalogs
#        in Taurus and Scorpius-Centaurus
# Authors: William M. J. Best, Michael C. Liu, Eugene A. Magnier,
#          Brendan P. Bowler, Kimberly M. Aller, Zhoujian Zhang,
#          Michael C. Kotson, W. S. Burgett, K. C. Chambers,
#          P. Draper, H. Flewelling, K. W. Hodapp, N. Kaiser,
#          N. Metcalfe, R. J. Wainscoat, C. Waters
# Accepted by ApJ
# arXiv: 1702.00789
# 
# Table: Proper Motions of Taurus Members (Table 8)
# Version: 2017-01-31
# 
# ================================================================================
# Notes:
# - This table contains 187 rows and 15 columns.
# - Fields with no data are filled with "NaN".
#
# - The objects in this table are taken from the catalog of Esplin et al. (2014),
#   except for PSO J060.3200+25.9644 and PSO J077.1033+24.3809 which are new
#   discoveries presented in this paper.  We adopt a photometric precision floor
#   of 0.01 mag for the PS1 photometry, following the analysis of
#   Schlafly et al. (2012).  The errors reported in the PS1 database are formal
#   errors that do not include systematics, and are often smaller.
# 
# ================================================================================
# Column descriptions:
#  N  Label         Format   Units   Description
#  1  Name          string           Name used in the object's discovery or spectral confirmation paper
#  2  i_p1          float    mag     PS1 i magnitude
#  3  i_err         float    mag     Error in PS1 i magnitude
#  4  z_p1          float    mag     PS1 z magnitude
#  5  z_err         float    mag     Error in PS1 z magnitude
#  6  y_p1          float    mag     PS1 y magnitude
#  7  y_err         float    mag     Error in PS1 y magnitude
#  8  mu_ra         float    mas/yr  Proper motion in Right Ascension [mu_ra * cos(dec)]
#  9  emu_ra        float    mas/yr  Error in proper motion in Right Ascension
# 10  mu_de         float    mas/yr  Proper motion in Declination
# 11  emu_de        float    mas/yr  Error in proper motion in Declination
# 12  rchisq        float            Reduced chi-squared of the proper motion fit
# 13  n_ep          integer          Number of epochs used in the proper motion fit
# 14  d_time        float    years   Time baseline of the proper moton fit
# 15  dt_flag       string           Flag for time baseline of the proper moton fit
# 
# Flags:
# {a} This object does not have a 2MASS detection.
# {x} No flag
# 
# ================================================================================
# ======================  Reliable fits: 0.3 < rchisq < 40  ======================
# ================================================================================
#                   Name    i_p1  i_err    z_p1  z_err    y_p1  y_err    mu_ra  emu_ra    mu_de  emu_de  rchisq  n_ep  d_time  dt_flag
   PSO_J060.3200+25.9645   21.61   0.04   20.06   0.02   19.02   0.02     19.0     8.2    -38.1     8.2     0.8    43    17.2        x
 2MASS_J04034997+2620382   16.27   0.01   15.28   0.01   14.73   0.01     15.6     6.3    -16.0     5.3      14    62    15.1        x
 2MASS_J04064443+2540182   15.67   0.01   14.68   0.01   14.14   0.01     12.4     1.3    -15.5     1.1     2.0    87    15.2        x
 2MASS_J04080782+2807280   15.19   0.01   14.34   0.01   13.91   0.01      2.6     1.5     -7.7     1.5     3.5    91    17.2        x
 2MASS_J04102834+2051507   16.90   0.01   15.87   0.01   15.28   0.01     -2.3     2.6     -7.3     1.0     1.7    69    17.2        x
 2MASS_J04105425+2501266   20.00   0.03   19.74   0.07   18.78   0.04      9.2     4.0    -15.7     4.0     0.7    34    17.2        x
 2MASS_J04135328+2811233   20.37   0.03   18.33   0.01   16.93   0.01     13.3     9.9    -39.8    12.3      22    45    17.2        x
 2MASS_J04135737+2918193   14.81   0.08   14.79   0.06   14.66   0.01      5.9     1.3    -26.4     1.5     1.8    64    17.2        x
 2MASS_J04141760+2806096   15.14   0.02   14.26   0.02   13.64   0.01      7.7     3.8    -24.6     2.8      14    67    17.2        x
 2MASS_J04142626+2806032   19.07   0.05   17.21   0.05   16.29   0.03      8.1     2.8    -18.4     3.6     3.4    41    17.2        x
 2MASS_J04142639+2805597   16.51   0.01   15.10   0.01   14.17   0.02      8.3     2.9    -20.2     2.6     4.3    63    17.2        x
 2MASS_J04143054+2805147   15.79   0.03   14.63   0.04   13.81   0.04     11.8     2.2    -19.5     1.6     3.6    61    17.2        x
 2MASS_J04144158+2809583     NaN    NaN   20.76   0.12   19.68   0.05     -4.7     5.9     -5.6     5.7     0.4    15    15.9        x
 2MASS_J04151471+2800096   19.77   0.01   18.07   0.02   17.09   0.01     15.5     2.0    -24.3     2.4     1.1    50    17.2        x
 2MASS_J04152409+2910434   17.90   0.01   16.45   0.01   15.59   0.01     12.3     1.8     -9.0     1.8     4.3    60    17.2        x
 2MASS_J04153566+2847417   19.81   0.02   18.62   0.03   17.89   0.01      8.1     3.6    -29.6     5.3     4.9    45    17.2        x
 2MASS_J04154131+2915078   16.09   0.01   14.96   0.01   14.34   0.01      3.9     3.1    -13.2     2.6     6.1    59    17.2        x
 2MASS_J04154269+2909558   16.96   0.01   15.50   0.01   14.65   0.01     13.9     2.7     -1.5     4.5      11    39    17.2        x
 2MASS_J04154807+2911331   20.61   0.03   18.86   0.01   17.84   0.02     11.7     3.5    -14.0     3.5     0.7    35    17.2        x
 2MASS_J04155799+2746175   14.90   0.01   13.83   0.03   13.36   0.03      9.9     1.9    -23.2     1.9     2.5    60    17.2        x
 2MASS_J04161210+2756385   15.50   0.06   14.12   0.01   13.55   0.01      7.3     2.1    -24.8     1.4     1.4    71    17.2        x
 2MASS_J04161885+2752155   16.36   0.01   15.09   0.01   14.35   0.01      5.0     1.9    -24.2     1.5     1.3    72    17.2        x
 2MASS_J04162725+2053091   14.96   0.01   14.03   0.01   13.50   0.01      2.1     1.2    -10.2     1.3     1.8    98    17.2        x
 2MASS_J04163048+3037053   16.43   0.01   15.53   0.01   15.07   0.01      6.6     1.3     -6.2     1.2     2.1    86    17.0        x
 2MASS_J04163911+2858491   16.42   0.01   15.24   0.01   14.45   0.01     17.8     3.7     -4.2     5.4      17    56    17.2        x
 2MASS_J04181710+2828419   17.71   0.01   16.14   0.01   15.19   0.01     16.2     6.2    -19.1     7.7      18    61    17.2        x
 2MASS_J04182909+2826191     NaN    NaN     NaN    NaN   19.55   0.06     11.8    11.1    -21.7     4.8     1.4    13    15.9        x
 2MASS_J04183030+2743208   14.86   0.01     NaN    NaN   13.33   0.01      9.1     1.7    -29.2     2.4     2.2    48    17.2        x
 2MASS_J04183203+2831153   21.20   0.07   19.38   0.05   18.55   0.12     11.0     3.2    -19.3     3.1     1.3    61    17.2        x
 2MASS_J04183444+2830302     NaN    NaN   19.80   0.02   18.08   0.03      9.9     3.6    -22.7     3.4     1.5    31    17.2        x
 2MASS_J04184023+2824245   21.16   0.03   19.03   0.03   17.44   0.01      2.7     5.9    -31.8     4.9     8.6    54    17.2        x
 2MASS_J04184250+2818498   16.92   0.01   15.52   0.01   14.59   0.01      8.2     2.5    -13.1     3.8     8.0    73    17.2        x
 2MASS_J04185115+2814332   17.75   0.01   16.42   0.01   15.65   0.01     11.7     4.5    -27.9     2.9     4.3    87    17.2        x
 2MASS_J04185147+2820264   16.68   0.03   15.54   0.03   14.94   0.02      2.3     4.6     -6.0     7.2      29    87    17.2        x
 2MASS_J04190126+2802487   20.96   0.04   19.51   0.01   18.46   0.01      7.1     5.6    -28.4     5.3     1.2    53    17.2        x
 2MASS_J04190197+2822332   16.41   0.01   15.02   0.01   14.17   0.01     -2.6     3.8    -21.3     4.9      23    83    17.2        x
 2MASS_J04194148+2716070   18.03   0.04   17.33   0.03   16.87   0.03     29.0     3.3    -19.3     2.8     5.9    78    17.2        x
 2MASS_J04201611+2821325   17.25   0.01   15.98   0.01   15.26   0.01      3.2     4.3    -31.1     6.1      12    73    17.2        x
 2MASS_J04202144+2813491   19.41   0.02   18.54   0.08   18.32   0.02    -17.1    14.9      5.2    12.3      20    60    17.2        x
 2MASS_J04202555+2700355   16.39   0.01   15.24   0.01   14.58   0.01     18.5     3.5    -14.9     1.1     7.3    82    17.2        x
 2MASS_J04202583+2819237   18.37   0.01   17.09   0.05   16.60   0.03     25.2     7.2    -36.6    15.7      35    77    17.2        x
 2MASS_J04210795+2702204   18.21   0.01   15.70   0.01   14.89   0.07     11.5     8.0     -7.0     3.3      11    69    17.2        x
 2MASS_J04213459+2701388   15.74   0.01   14.47   0.01   13.75   0.01      8.1     3.2    -13.5     2.7     3.1    64    17.2        x
 2MASS_J04213965+2649143   16.27   0.01   15.05   0.01   14.35   0.01     14.7     2.7    -13.2     5.1     5.5    68    17.2        x
 2MASS_J04214013+2814224   14.84   0.01   13.86   0.01   13.34   0.01     13.5     2.1    -25.3     3.9     7.0    84    17.2        x
 2MASS_J04214631+2659296   18.11   0.01   16.70   0.01   15.84   0.01     12.1     1.6    -18.5     1.8     1.2    73    17.2        x
 2MASS_J04215450+2652315   20.78   0.02   18.87   0.01   17.78   0.02     12.0     3.5     -9.5     3.5     1.2    57    17.2        x
 2MASS_J04215482+2642372   15.34   0.01   14.36   0.01   13.84   0.01     19.2     7.8    -15.9     3.3     6.4    63    17.2        x
 2MASS_J04215851+1520145   15.69   0.01   15.05   0.02   14.59   0.01     -2.2     3.6      2.2     3.0     5.6    69    17.2        x
 2MASS_J04220069+2657324   18.50   0.04   17.90   0.02   17.12   0.11    -11.3     7.4    -12.8     5.4     7.0    52    17.2        x
 2MASS_J04221332+1934392   16.93   0.01   15.52   0.01   14.70   0.01      8.7     2.1     -8.8     1.7     1.6    90    17.2        x
 2MASS_J04221568+2657060   16.26   0.01   15.85   0.01   15.48   0.01     10.6     4.0     -4.0     5.2     4.6    74    17.2        x
 2MASS_J04221644+2549118   17.07   0.01   15.61   0.01   14.85   0.01     15.9     2.6    -22.4     1.3     2.1    79    17.2        x
 2MASS_J04221675+2654570   15.13   0.07     NaN    NaN   14.14   0.03     12.7     2.1    -14.6     3.3      13    79    17.2        x
 2MASS_J04223075+1526310   18.11   0.01   16.85   0.01   16.12   0.01      1.3     1.8     -3.5     1.7     0.8    62    17.1        x
 2MASS_J04224786+2645530   15.36   0.02   14.74   0.13   14.27   0.12     12.2     1.9    -16.7     1.4     1.6    54    17.2        x
 2MASS_J04230607+2801194   15.55   0.01   14.45   0.01   13.81   0.01     11.5     1.0    -25.2     2.1     3.5    64    17.2        x
 2MASS_J04230776+2805573   16.34   0.03   15.37   0.01   15.04   0.07      9.8     1.2    -26.2     2.0     1.8    78    17.2        x
 2MASS_J04231822+2641156   17.57   0.01   16.10   0.01   15.16   0.01     14.9     1.7    -13.1     2.0     1.9    53    17.2        x
 2MASS_J04233539+2503026   14.76   0.01   13.43   0.01   12.64   0.02     11.2     4.2    -15.3     4.8      23    69    17.2        x
 2MASS_J04233573+2502596   20.19   0.02   18.40   0.02   17.21   0.01      1.4     5.9    -31.9     5.5     4.0    34    17.2        x
 2MASS_J04242090+2630511   16.99   0.01   15.75   0.01   15.07   0.01     12.0     3.1    -25.9     1.4     2.2    47    17.1        x
 2MASS_J04242646+2649503   16.28   0.01   15.15   0.01   14.50   0.01     10.9     1.4    -18.3     1.3     1.2    64    17.1        x
 2MASS_J04245021+2641006   15.60   0.01   14.51   0.01   13.94   0.01      9.3     1.5    -13.4     1.6     1.7    65    17.2        x
 2MASS_J04251550+2829275   14.64   0.01   13.48   0.01   12.84   0.01     10.2     1.5    -23.6     1.3     1.5    72    17.2        x
 2MASS_J04262939+2624137   17.02   0.01   15.83   0.01   15.08   0.01      6.2     2.5    -14.8     1.6     3.1    74    17.1        x
 2MASS_J04263055+2443558   19.51   0.02   17.70   0.01   16.67   0.01     10.2     3.1    -15.3     4.1     2.5    56    17.1        x
 2MASS_J04264449+2756433   15.89   0.01   14.77   0.01   14.17   0.01      4.5     2.0    -30.4     3.7     7.9   102    17.2        x
 2MASS_J04265732+2606284   14.95   0.01   13.80   0.01   13.09   0.01     -1.6     2.1    -16.3     1.9     4.8    79    17.1        x
 2MASS_J04270266+2605304   20.03   0.04   19.06   0.03   18.41   0.03      3.9    10.5    -27.0    11.5     8.1    47    16.0        x
 2MASS_J04270739+2215037   15.49   0.01   14.39   0.01   13.79   0.01      7.9     1.3    -15.3     1.4     1.0    73    17.2        x
 2MASS_J04272799+2612052   20.34   0.02   18.58   0.03   17.57   0.01     -0.9     2.5    -25.6     2.5     1.8    59    17.2        x
 2MASS_J04274538+2357243   19.27   0.01   17.75   0.01   16.84   0.01      9.3     2.9    -12.6     2.7     3.5    62    17.2        x
 2MASS_J04275730+2619183   17.60   0.08   16.66   0.04   15.94   0.04     -6.4     5.4      8.1     5.9      21    73    17.2        x
 2MASS_J04284199+1533535   15.46   0.01   14.63   0.01   14.20   0.01      1.1     1.3    -15.1     1.6     1.9    68    17.2        x
 2MASS_J04284263+2714039   15.33   0.01   14.45   0.01   13.85   0.01      2.5     1.3    -15.7     3.1     5.8    71    17.2        x
 2MASS_J04285053+1844361   14.65   0.01   13.46   0.01   12.70   0.01      9.3     2.9     -9.0     3.8      11    89    17.2        x
 2MASS_J04290068+2755033   17.99   0.01   16.55   0.01   15.72   0.01      8.7     1.9    -25.2     1.7     1.8    57    17.2        x
 2MASS_J04290498+2649073   18.01   0.01   17.14   0.02   16.64   0.02     12.2     5.5     -9.4     6.2     2.8    69    17.2        x
